target_context_tokens,placement,condition,query_mode,sample_count,strict_accuracy,input_excluded_accuracy,mean_gold_nll,mean_margin,prediction_roles
1024,middle,high4,oracle_hop2,16,0.375,0.375,1.3758740064309418,-0.05460375549059142,"{""gold_final"": 6, ""high_distractor_1"": 10}"
1024,middle,low16,hop1,16,1.0,1.0,1.0487288933450796,0.7149915483819963,"{""gold_intermediate"": 16}"
1024,middle,low16,oracle_hop2,16,0.6875,1.0,1.203533336321308,0.09496271969676073,"{""gold_final"": 11, ""gold_intermediate"": 5}"
1024,middle,mixed,hop1,16,0.4375,0.4375,1.1506960850664913,-0.06930265017406001,"{""conflict_intermediate"": 8, ""gold_intermediate"": 7, ""high_distractor_0"": 1}"
1024,middle,mixed,oracle_hop2,16,0.5,0.5625,1.2590383011073365,0.010614835014426421,"{""gold_final"": 8, ""gold_intermediate"": 1, ""high_distractor_1"": 7}"
8192,middle,clean,hop1,16,1.0,1.0,1.0364869702859454,0.687139378557861,"{""gold_intermediate"": 16}"
8192,middle,clean,oracle_hop2,16,0.125,1.0,1.3447306899769111,-0.11838314211360865,"{""gold_final"": 2, ""gold_intermediate"": 14}"
8192,middle,competitor2,hop1,16,1.0,1.0,1.1036097875023967,0.4108125371167261,"{""gold_intermediate"": 16}"
8192,middle,competitor2,oracle_hop2,16,0.4375,0.8125,1.3472612369875736,-0.023058377941976807,"{""competitor_final_1"": 2, ""gold_final"": 7, ""gold_intermediate"": 7}"
8192,middle,conflict1,hop1,16,0.125,0.125,1.1970193929779012,-0.11805711254990972,"{""conflict_intermediate"": 14, ""gold_intermediate"": 2}"
8192,middle,conflict1,oracle_hop2,16,0.5,1.0,1.3175039337771264,-0.008599140286345813,"{""gold_final"": 8, ""gold_intermediate"": 8}"
8192,middle,high4,hop1,16,0.8125,0.8125,1.1305804383096725,0.20381511644635408,"{""gold_intermediate"": 13, ""high_distractor_0"": 1, ""high_distractor_2"": 2}"
8192,middle,high4,oracle_hop2,16,0.75,0.75,1.2372876496784946,0.0753295310773215,"{""gold_final"": 12, ""high_distractor_1"": 3, ""high_distractor_3"": 1}"
8192,middle,low16,hop1,16,1.0,1.0,0.9842134831875617,0.5759816327488677,"{""gold_intermediate"": 16}"
8192,middle,low16,oracle_hop2,16,0.25,1.0,1.2234611080927738,-0.06741165737003033,"{""gold_final"": 4, ""gold_intermediate"": 12}"
8192,middle,mixed,hop1,16,0.75,0.75,1.0970846466784028,0.20166693588336265,"{""conflict_intermediate"": 3, ""gold_intermediate"": 12, ""high_distractor_0"": 1}"
8192,middle,mixed,oracle_hop2,16,0.75,0.8125,1.2168487754827635,0.11649257531488341,"{""gold_final"": 12, ""gold_intermediate"": 1, ""high_distractor_1"": 3}"
32768,middle,clean,hop1,16,1.0,1.0,1.0339998520848894,0.5736936404404592,"{""gold_intermediate"": 16}"
32768,middle,clean,oracle_hop2,16,0.375,1.0,1.3343773012378992,-0.07805223954398702,"{""gold_final"": 6, ""gold_intermediate"": 10}"
32768,middle,competitor2,hop1,16,1.0,1.0,1.1201387225950645,0.36845038836794886,"{""gold_intermediate"": 16}"
32768,middle,competitor2,oracle_hop2,16,0.0,0.3125,1.406566166788512,-0.13017860470089151,"{""competitor_final_1"": 3, ""gold_intermediate"": 13}"
32768,middle,conflict1,hop1,16,0.0,0.0,1.3005771714563577,-0.33979337285485856,"{""conflict_intermediate"": 16}"
32768,middle,conflict1,oracle_hop2,16,0.1875,0.625,1.3727535227231524,-0.04209673041675291,"{""conflict_intermediate"": 2, ""gold_final"": 3, ""gold_intermediate"": 11}"
32768,middle,high4,hop1,16,0.875,0.875,1.1314102171418199,0.1721738169315878,"{""gold_intermediate"": 14, ""high_distractor_0"": 1, ""high_distractor_2"": 1}"
32768,middle,high4,oracle_hop2,16,0.5625,0.625,1.3428742587228564,-0.0013773236662798366,"{""gold_final"": 9, ""gold_intermediate"": 2, ""high_distractor_0"": 1, ""high_distractor_2"": 1, ""high_distractor_3"": 3}"
32768,middle,low16,hop1,16,1.0,1.0,0.9867239695966938,0.5362186062983321,"{""gold_intermediate"": 16}"
32768,middle,low16,oracle_hop2,16,0.0,1.0,1.2798647393961542,-0.1738313904469188,"{""gold_intermediate"": 16}"
32768,middle,mixed,hop1,16,1.0,1.0,1.0762517227945605,0.2402681742085926,"{""gold_intermediate"": 16}"
32768,middle,mixed,oracle_hop2,16,0.4375,0.8125,1.274924500153377,0.019804726675699547,"{""gold_final"": 7, ""gold_intermediate"": 7, ""high_distractor_1"": 1, ""high_distractor_2"": 1}"
64000,middle,clean,hop1,16,1.0,1.0,1.0146938087132835,0.5408478940246694,"{""gold_intermediate"": 16}"
64000,middle,clean,oracle_hop2,16,0.125,1.0,1.366141162979537,-0.13754269103238975,"{""gold_final"": 2, ""gold_intermediate"": 14}"
64000,middle,competitor2,hop1,16,1.0,1.0,1.1444053501483202,0.4762076958140824,"{""gold_intermediate"": 16}"
64000,middle,competitor2,oracle_hop2,16,0.0,1.0,1.5005077481343636,-0.2134140914749878,"{""gold_intermediate"": 16}"
64000,middle,conflict1,hop1,16,0.125,0.125,1.1544628012457647,-0.07264398905161738,"{""conflict_intermediate"": 14, ""gold_intermediate"": 2}"
64000,middle,conflict1,oracle_hop2,16,0.0,0.0,1.4868305483061184,-0.19219261022980003,"{""conflict_intermediate"": 11, ""gold_intermediate"": 5}"
64000,middle,high4,hop1,16,1.0,1.0,1.040132789099776,0.34639723940615247,"{""gold_intermediate"": 16}"
64000,middle,high4,oracle_hop2,16,0.3125,0.375,1.39233070780704,-0.046393094892534625,"{""gold_final"": 5, ""gold_intermediate"": 4, ""high_distractor_1"": 1, ""high_distractor_2"": 2, ""high_distractor_3"": 4}"
64000,middle,low16,hop1,16,1.0,1.0,1.0171900850987836,0.48511262361820884,"{""gold_intermediate"": 16}"
64000,middle,low16,oracle_hop2,16,0.0,1.0,1.4045895246672444,-0.29396842300151804,"{""gold_intermediate"": 16}"
64000,middle,mixed,hop1,16,1.0,1.0,1.0635039868513039,0.3556651722647075,"{""gold_intermediate"": 16}"
64000,middle,mixed,oracle_hop2,16,0.0,0.3125,1.5060106117271062,-0.2409723416000945,"{""gold_intermediate"": 15, ""high_distractor_2"": 1}"
