task,base_task,requested_length,sample_id,method,executed_path,configured_sampled_quantile_sample_count,configured_index_bits_per_token,index_build_seconds,qk_prebuild_seconds,qk_prebuild_layers,qk_batched_allocation_layers,packed_qmse_sample_count,packed_qmse_value_sketch_rank,packed_qmse_value_sketch_bits,packed_qmse_value_sketch_executed,packed_qmse_value_sketch_tail_alpha,packed_qmse_debug_value_sketch_disabled,sampled_candidate_overflow_fraction,sampled_quantile_fallback,metric,score,prediction,answers,prompt_tokens,prefix_tokens,suffix_tokens,generated_tokens,configured_attention_fraction,configured_attention_tokens,configured_candidate_fraction,configured_projection_dim,configured_score_mode,attention_link_ratio,exact_qk_ratio,estimated_retained_mass,temporal_reuse_rate,gpu_kv_storage_ratio,scan_dimension_fraction,diagnostics_enabled,prefill_seconds,query_seconds,decode_seconds,online_seconds,total_seconds
qa_squad_131072,qa_squad,131072,qa_squad_131072_4,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,1.0,10th,"[""10th century"", ""the first half of the 10th century"", ""10th"", ""10th""]",130964,130942,22,2,1.0,130942,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,198.19098663236946,0.5848317393101752,0.6674369438551366,1.2522686831653118,199.44325531553477
qa_squad_131072,qa_squad,131072,qa_squad_131072_4,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.1693032500334084,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,1.0,10th century,"[""10th century"", ""the first half of the 10th century"", ""10th"", ""10th""]",130964,130942,22,3,0.009775320370851217,1280,0.009775320370851217,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009748057090634903,0.0,0.0,0.0,1.0,0.0,True,198.35151531314477,0.7536501782014966,1.110861340072006,1.8645115182735026,200.21602683141828
qa_squad_131072,qa_squad,131072,qa_squad_131072_2,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,0.0,"Denmark, Iceland, and Norway.","[""Denmark, Iceland and Norway"", ""Denmark, Iceland and Norway"", ""Denmark, Iceland and Norway"", ""Denmark, Iceland and Norway""]",129489,129471,18,8,1.0,129471,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,194.64720110129565,0.5585139039903879,2.6451783338561654,3.2036922378465533,197.8508933391422
qa_squad_131072,qa_squad,131072,qa_squad_131072_2,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.1727721388451755,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,0.0,"Denmark, Iceland, and Norway.","[""Denmark, Iceland and Norway"", ""Denmark, Iceland and Norway"", ""Denmark, Iceland and Norway"", ""Denmark, Iceland and Norway""]",129489,129471,18,8,0.009886383823404468,1280,0.009886383823404468,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009509713098731587,0.0,0.0,0.0,1.0,0.0,True,194.57786198798567,0.7290950017049909,1.6165754818357527,2.3456704835407436,196.9235324715264
qa_squad_131072,qa_squad,131072,qa_squad_131072_0,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,1.0,France,"[""France"", ""France"", ""France"", ""France""]",130745,130727,18,1,1.0,130727,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,197.62586795911193,0.5799335329793394,0.3338507669977844,0.9137842999771237,198.53965225908905
qa_squad_131072,qa_squad,131072,qa_squad_131072_0,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.17262915801256895,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,1.0,France,"[""France"", ""France"", ""France"", ""France""]",130745,130727,18,1,0.009791397339493755,1280,0.009791397339493755,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.00930652223794409,0.0,0.0,0.0,1.0,0.0,True,197.97456421377137,0.7540113730356097,0.92066161474213,1.6746729877777398,199.6492372015491
qa_squad_65536,qa_squad,65536,qa_squad_65536_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,1.0,Rollo,"[""Rollo"", ""Rollo"", ""Rollo"", ""Rollo""]",61582,61566,16,2,1.0,61566,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,53.28663348313421,0.28091909922659397,0.3376468447968364,0.6185659440234303,53.90519942715764
qa_squad_65536,qa_squad,65536,qa_squad_65536_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.15970591688528657,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,1.0,Rollo,"[""Rollo"", ""Rollo"", ""Rollo"", ""Rollo""]",61582,61566,16,2,0.02079069616346685,1280,0.02079069616346685,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.021285026691836156,0.0,0.0,0.0,1.0,0.0,True,53.44853229401633,0.4467457588762045,0.7350197192281485,1.181765478104353,54.630297772120684
qa_squad_65536,qa_squad,65536,qa_squad_65536_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,1.0,The 10th and 11th centuries.,"[""10th and 11th centuries"", ""in the 10th and 11th centuries"", ""10th and 11th centuries"", ""10th and 11th centuries""]",62240,62221,19,10,1.0,62221,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,54.57199114887044,0.28100703191012144,1.7051796596497297,1.9861866915598512,56.55817784043029
qa_squad_65536,qa_squad,65536,qa_squad_65536_1,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.1580817881040275,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,1.0,The 10th and 11th centuries.,"[""10th and 11th centuries"", ""in the 10th and 11th centuries"", ""10th and 11th centuries"", ""10th and 11th centuries""]",62240,62221,19,10,0.0205718326609987,1280,0.0205718326609987,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.021437643335957393,0.0,0.0,0.0,1.0,0.0,True,54.346538957674056,0.4398401379585266,1.2426570719107985,1.6824972098693252,56.02903616754338
fwe_131072,fwe,131072,fwe_131072_4,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.6666666666666666,"qgeisk, yzevlp, and zkeaib","[""qgeisk"", ""zkeaib"", ""buenxr""]",113792,113740,52,13,1.0,113740,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,154.55051327263936,0.5259512341581285,3.8101474717259407,4.336098705884069,158.88661197852343
fwe_131072,fwe,131072,fwe_131072_4,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,5888,306.0,0.0,0.1754920850507915,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.6666666666666666,"qgeisk, yzevlp, and zkeaib","[""qgeisk"", ""zkeaib"", ""buenxr""]",113792,113740,52,13,0.011253736592227889,1280,0.011253736592227889,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.011681657928032397,0.0,0.0,0.0,1.0,0.0,True,154.8291482650675,0.6998973120935261,1.9692442431114614,2.6691415552049875,157.49828982027248
fwe_131072,fwe,131072,fwe_131072_2,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.6666666666666666,"bulcra, ywwvqf, and zjthok","[""pztyhb"", ""zjthok"", ""bulcra""]",122741,122689,52,15,1.0,122689,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,176.75481192674488,0.5762117812409997,4.718950307928026,5.295162089169025,182.0499740159139
fwe_131072,fwe,131072,fwe_131072_2,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6144,306.0,0.0,0.17986255325376987,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.6666666666666666,"bulcra, ywwvqf, and zjthok","[""pztyhb"", ""zjthok"", ""bulcra""]",122741,122689,52,15,0.010432883143558102,1280,0.010432883143558102,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009680237173755716,0.0,0.0,0.0,1.0,0.0,True,176.51378880720586,0.7589062368497252,2.24850906804204,3.007415304891765,179.52120411209762
fwe_131072,fwe,131072,fwe_131072_0,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.6666666666666666,"qctxin, bvguyq, and yzeuwi","[""qctxin"", ""zkmrhy"", ""bvguyq""]",123812,123760,52,14,1.0,123760,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,179.46441137138754,0.5707286209799349,4.44088599504903,5.0116146160289645,184.4760259874165
fwe_131072,fwe,131072,fwe_131072_0,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6400,306.0,0.0,0.1627331580966711,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.6666666666666666,"qctxin, bvguyq, and jgqgof","[""qctxin"", ""zkmrhy"", ""bvguyq""]",123812,123760,52,15,0.010342598577892695,1280,0.010342598577892695,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.0095047592991921,0.0,0.0,0.0,1.0,0.0,True,179.51379232481122,0.7350887721404433,2.265372079797089,3.0004608519375324,182.51425317674875
fwe_65536,fwe,65536,fwe_65536_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"qarojw, ujjqcy, and ydhrhm","[""ujjqcy"", ""qarojw"", ""ydhrhm""]",64400,64348,52,15,1.0,64348,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,57.59643358923495,0.30866151209920645,2.642525549978018,2.9511870620772243,60.54762065131217
fwe_65536,fwe,65536,fwe_65536_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.16250679967924953,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,"qarojw, ydhrhm, and ujjqcy","[""ujjqcy"", ""qarojw"", ""ydhrhm""]",64400,64348,52,15,0.019891838130167216,1280,0.019891838130167216,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.019072645037935834,0.0,0.0,0.0,1.0,0.0,True,57.670019063167274,0.4715698347426951,1.5948621677234769,2.066432002466172,59.736451065633446
fwe_65536,fwe,65536,fwe_65536_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,1.0,"trmtjm (appears 234 times), pwiqbo (appears 194 times), and xogzgl (appears 184 times).","[""trmtjm"", ""pwiqbo"", ""xogzgl""]",65041,64989,52,33,1.0,64989,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,58.59699106309563,0.3163373190909624,5.887944158166647,6.204281477257609,64.80127254035324
fwe_65536,fwe,65536,fwe_65536_1,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.18067626934498549,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,1.0,"trmtjm (appears 234 times), pwiqbo (appears 194 times), and xogzgl (appears 184 times).","[""trmtjm"", ""pwiqbo"", ""xogzgl""]",65041,64989,52,33,0.019695640800750897,1280,0.019695640800750897,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.019343463497889495,0.0,0.0,0.0,1.0,0.0,True,58.503917849157006,0.4975003837607801,2.87732523214072,3.3748256159015,61.878743465058506
cwe_131072,cwe,131072,cwe_131072_4,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.0,The top 10 words that appear most often in the list are:\n\n1. the (34 times)\n2. and (32 times)\n3. of (29 times)\n4. to (28 times)\n5. a (27 times)\n6. in (26 times)\n7. that (25 times)\n8. is (24 times)\n9. for (23 times)\n10. with (22 times)\n\nThese words are all common function words that appear frequently in English language texts.,"[""neon"", ""colon"", ""frantic"", ""bank"", ""tritone"", ""goodie"", ""hatbox"", ""republican"", ""surgeon"", ""friend""]",129969,129932,37,99,1.0,129932,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,196.06306320568547,0.5867093652486801,32.925230477936566,33.511939843185246,229.5750030488707
cwe_131072,cwe,131072,cwe_131072_4,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.17210456309840083,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.0,The top 10 words that appear most often in the list are:\n\n1. the (134 times)\n2. and (123 times)\n3. of (114 times)\n4. to (104 times)\n5. a (96 times)\n6. in (94 times)\n7. that (92 times)\n8. is (89 times)\n9. for (86 times)\n10. with (84 times)\n\nThese words are all common function words that appear frequently in English language texts.,"[""neon"", ""colon"", ""frantic"", ""bank"", ""tritone"", ""goodie"", ""hatbox"", ""republican"", ""surgeon"", ""friend""]",129969,129932,37,99,0.009851306837422653,1280,0.009851306837422653,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009622774292610572,0.0,0.0,0.0,1.0,0.0,True,196.17066886276007,0.759018256329,12.292622848879546,13.051641105208546,209.2223099679686
cwe_131072,cwe,131072,cwe_131072_2,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.0,The top 10 words that appear most often in the list are:\n\n1. the (34 times)\n2. and (32 times)\n3. of (29 times)\n4. to (28 times)\n5. a (27 times)\n6. in (26 times)\n7. that (25 times)\n8. is (24 times)\n9. for (23 times)\n10. with (22 times)\n\nThese words are all common function words that appear frequently in English language texts.,"[""finicky"", ""collision"", ""belief"", ""peek"", ""median"", ""sailor"", ""redundant"", ""boudoir"", ""hormone"", ""silver""]",129966,129929,37,99,1.0,129929,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,195.80922598345205,0.5869045900180936,32.90902935573831,33.495933945756406,229.30515992920846
cwe_131072,cwe,131072,cwe_131072_2,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.1716012922115624,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.0,The top 10 words that appear most often in the list are:\n\n1. the (134 times)\n2. and (123 times)\n3. of (114 times)\n4. to (104 times)\n5. a (96 times)\n6. in (94 times)\n7. that (92 times)\n8. is (88 times)\n9. for (86 times)\n10. with (84 times)\n\nThese words are all common function words that appear frequently in English language texts.,"[""finicky"", ""collision"", ""belief"", ""peek"", ""median"", ""sailor"", ""redundant"", ""boudoir"", ""hormone"", ""silver""]",129966,129929,37,99,0.009851534299502036,1280,0.009851534299502036,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.00963161109190684,0.0,0.0,0.0,1.0,0.0,True,196.32632010104135,0.7561246594414115,11.014595907181501,11.770720566622913,208.09704066766426
cwe_131072,cwe,131072,cwe_131072_0,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.0,The top 10 words that appear most often in the list are:\n\n1. the (34 times)\n2. and (32 times)\n3. of (29 times)\n4. to (28 times)\n5. a (26 times)\n6. in (25 times)\n7. that (24 times)\n8. is (23 times)\n9. for (22 times)\n10. with (21 times)\n\nThese words are all common function words that appear frequently in English language texts.,"[""columnist"", ""commonsense"", ""recall"", ""debonair"", ""parsley"", ""rations"", ""interrupt"", ""interaction"", ""yin"", ""transparency""]",130035,129998,37,99,1.0,129998,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,195.94462350569665,0.5852120001800358,32.90162300504744,33.486835005227476,229.43145851092413
cwe_131072,cwe,131072,cwe_131072_0,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.17289892630651593,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match,0.0,The top 10 words that appear most often in the list are:\n\n1. the (134 times)\n2. and (123 times)\n3. of (114 times)\n4. to (104 times)\n5. a (96 times)\n6. in (94 times)\n7. that (92 times)\n8. is (88 times)\n9. for (86 times)\n10. with (84 times)\n\nThese words are all common function words that appear frequently in English language texts.,"[""columnist"", ""commonsense"", ""recall"", ""debonair"", ""parsley"", ""rations"", ""interrupt"", ""interaction"", ""yin"", ""transparency""]",130035,129998,37,99,0.009846305327774273,1280,0.009846305327774273,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009573329562751061,0.0,0.0,0.0,1.0,0.0,True,196.31988372979686,0.7586129545234144,11.011108980048448,11.769721934571862,208.08960566436872
cwe_65536,cwe,65536,cwe_65536_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match,0.0,"To determine the top 10 most common words in the list, I'll count the frequency of each word. Here are the top 10 most common words:\n\n1. **the** (appears 246 times)\n2. **and** (appears 194 times)\n3. **of** (appears 173 times)\n4. **to** (appears 164 times)\n5. **a** (appears 156 times)\n6. **in** (appears 145 times)\n7. **that** (appears 134 times)\n8. **is","[""peer-to-peer"", ""seizure"", ""bijou"", ""soldier"", ""veil"", ""honoree"", ""cascade"", ""fishing"", ""perpetual"", ""revenge""]",64524,64487,37,120,1.0,64487,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,57.92299077194184,0.3040465200319886,21.149921825155616,21.453968345187604,79.37695911712945
