variant,correct,mask,span,metric,hit_count,query_count,coverage
topic_table,1,final,key,all,46,104384,0.000440680564071122
topic_table,1,final,key,any,26103,104384,0.2500670600858369
topic_table,1,final,label,all,11416,104384,0.10936541998773758
topic_table,1,final,label,any,11416,104384,0.10936541998773758
topic_table,1,final,record,all,0,104384,0.0
topic_table,1,final,record,any,64470,104384,0.6176233905579399
topic_table,1,union,key,all,150,104384,0.0014370018393623544
topic_table,1,union,key,any,40182,104384,0.3849440527283875
topic_table,1,union,label,all,18178,104384,0.1741454629061925
topic_table,1,union,label,any,18178,104384,0.1741454629061925
topic_table,1,union,record,all,0,104384,0.0
topic_table,1,union,record,any,80867,104384,0.77470685162477
